0,0
17.786,-26.705
35.572,-51.384
53.358,-43.396
71.144,-55.09
88.93,-51.464
106.72,-57.421
124.5,-64.52
142.29,-67.628
160.07,-53.787
177.86,-94.014
195.65,-74.594
213.43,-49.254
231.22,-55.272
249.01,-84.565
266.79,-65.702
284.58,-57.309
302.36,-102.2
320.15,-76.626
337.94,-97.126
355.72,-51.554
373.51,-43.344
391.29,-57.8
409.08,-70.586
426.87,-72.418
444.65,-79.244
462.44,-78.279
480.22,-89.463
498.01,-67.638
515.8,-71.686
533.58,-94.099
551.37,-77.886
569.15,-72.368
586.94,-76.881
604.73,-71.449
622.51,-75.161
640.3,-80.574
658.09,-79.072
675.87,-80.278
693.66,-95.195
711.44,-145.83
729.23,-73.859
747.02,-86.411
764.8,-85.949
782.59,-90.708
800.37,-88.382
818.16,-75.961
835.95,-94.118
853.73,-97.682
871.52,-67.653
889.3,-74.547
907.09,-92.589
924.88,-82.474
942.66,-87.719
960.45,-87.912
978.24,-90.927
996.02,-80.788
1013.8,-102.18
1031.6,-84.277
1049.4,-84.343
1067.2,-117.89
1085,-82.002
1102.7,-78.188
1120.5,-95.667
1138.3,-104.13
1156.1,-108.05
1173.9,-82.739
1191.7,-84.057
1209.5,-100.07
1227.2,-95.045
1245,-91.616
1262.8,-91.181
1280.6,-97.969
1298.4,-85.255
1316.2,-98.513
1334,-96.5
1351.7,-82.299
1369.5,-86.34
1387.3,-106
1405.1,-108.34
1422.9,-78.135
1440.7,-89.048
1458.5,-82.532
1476.2,-98.878
